Instance Name,Internal IP,External IP
ubuntu,192.168.41.127,206.12.93.47
ubuntu,192.168.41.202,206.12.93.47
ubuntu,192.168.41.211,206.12.93.47
ubuntu,192.168.41.220,206.12.93.47
