Instance Name,Internal IP,External IP
ubuntu,192.168.41.39,192.168.41.39
ubuntu,192.168.41.237,192.168.41.237
ubuntu,192.168.41.64,192.168.41.64
ubuntu,192.168.41.193,192.168.41.193
