id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.9linear_weight,0.8linear_weight,0.7linear_weight,0.6linear_weight,0.5linear_weight,0.9exponential_weight,0.8exponential_weight,0.7exponential_weight,0.6exponential_weight,0.5exponential_weight
77,53.48,-2.24,13,ce310afe-d889-43c5-a84f-94600de73bb4,73.48863997815553,0.00747134757506829,759,1505,2251,2996,3742,28,59,119,235,457
80,39.9611,-82.9989,70696,b2a91ddc-bb09-4b8c-9147-ed9dbacc8de7,0.0140101025271348,0.013434621085883032,64970,59243,53517,47791,42065,66439,61476,55945,50002,43795
82,45.5236,-122.675,22302,195ae93e-723c-4a4a-9b5c-d6af323f0550,120.84056120775222,0.015689235607023917,21641,20980,20318,19657,18996,23890,25197,26137,26626,26582
86,40.75,-111.8833,118,1e1c3dc0-8a20-492f-9724-569869e24b46,145.14402203853666,0.015498352132865207,1656,3194,4732,6270,7808,214,381,667,1146,1929
90,38.63,-90.2,212,a9e32afd-f315-4427-b4c1-e3147e891b1e,0.3513019137692245,0.014285664304509999,1619,3026,4434,5841,7248,358,596,976,1570,2473
91,52.4081,-1.5106,280,8cf5c879-4bd5-40fa-b504-108b543b7d62,18.224388400320137,0.007324664083118602,984,1689,2393,3098,3802,431,652,972,1421,2036
94,40.4,-3.6833,31,1da2cbef-e285-4785-a6e5-a76a153f1bca,2.456931025009301,0.009531592002689188,981,1931,2881,3831,4781,60,118,225,421,772
97,27.9472,-82.4586,14,e5969b64-6d24-44eb-891f-6aac1e900957,30.211862579924283,0.016424064451380213,1655,3296,4937,6578,8219,33,73,159,338,704
107,-33.8683,151.2086,38489,d6b20317-0a89-46e6-876d-c764e7f29e13,15.314300282570656,0.05202357166975266,39843,41196,42549,43903,45256,44012,49551,54868,59669,63590
111,18.5236,73.8478,14399,bd895182-350e-4c54-8061-c53c8b4fddc7,118.54074811521448,0.023656872929437717,15324,16250,17176,18102,19027,16789,19275,21764,24135,26227
113,37.5665,126.978,32560,acc87f70-f1d1-425a-a71d-868b73458e61,13.529046865915443,0.02814513539794551,32119,31677,31235,30794,30352,35605,38333,40590,42212,43019
116,24.6333,46.7167,34241,90c5f89c-7d40-4f29-b8b2-34adc08e2e11,412.6489855321823,0.020504307625841205,32867,31494,30120,28746,27373,36093,37459,38235,38329,37654
