id,latitude,longitude,stake_weight,uuid,distance_km,GDI,0.8linear_weight,0.6linear_weight,0.4linear_weight,0.2linear_weight,0linear_weight
1,-37.7833,144.9667,1784,2bd99757-74a9-40db-b1ef-7a91b59f3547,155.9520114085317,0.0523325642373934,11894,22003,32113,42222,52332
2,43.6481,-79.4042,172646,389745a4-8925-4b5c-9176-e29f8459c5f2,67.47642659864155,0.0059649633039289,139310,105973,72637,39301,5964
3,50.0833,14.4167,26239,51e1b183-b058-415f-bd8d-4452b15631b4,113.257954226668,0.0052571292679779,22043,17846,13650,9453,5257
4,48.8742,2.347,321893,35d4a080-1e66-4e14-8180-6b1ffc70ea7d,120.08550110167909,0.0046851196755439,258452,195010,131568,68126,4685
6,35.6833,139.7667,13623,5cfb3181-f9e5-437e-be29-2dd26508e256,64.82093370478786,0.0234544297921953,15589,17555,19521,21488,23454
8,-36.8404,174.7399,298,725c548a-a55b-4754-942d-e6042976ec4b,53.73511462353411,0.0564263313145739,11524,22749,33975,45200,56426
9,55.7517,37.6178,1939,8f865002-0043-4876-a300-f9b337b059b9,145.647547357091,0.0108078849746578,3712,5486,7260,9034,10807
10,59.32,18.09,139948,6f180aad-0b44-4dba-b839-0a9da11e25e7,76.48605789211875,0.0055047402072564,113059,86170,59282,32393,5504
12,32.7828,-96.8039,5797,2c95a687-7870-40f1-a177-55b3fb24014c,42.191346122799,0.0080327104470146,6244,6691,7138,7585,8032
15,25.765,-80.2,8984,458d6124-22a2-4116-861f-211719467a29,58.01634931531706,0.0099684954607093,9181,9378,9574,9771,9968
17,41.3857,2.1699,1498,d3a32bc3-9399-4cac-99da-f654f51838d3,162.83747177130778,0.0051110991637045,2220,2943,3665,4388,5111
18,33.7489,-84.3881,21669,b292d1a5-6ba2-4186-94a7-9b7824b2bf11,153.36472694923484,0.0076560620101146,18866,16064,13261,10458,7656
19,53.3478,-6.2597,13500,996e9e8b-5641-4d69-86c2-94811d6ff1da,29.23439198499597,0.0037941581751107,11559,9617,7676,5735,3794
21,-27.4667,153.0333,598,ecc0d71b-362d-4e72-9657-4d48edbc24cb,548.7039100727728,0.0535158680488962,11182,21765,32349,42932,53515
22,41.85,-87.65,29311,544bd610-b3ad-48ec-bcfe-27abfd53ec60,101.97739840070084,0.0063856218209134,24726,20141,15556,10970,6385
24,47.6097,-122.3331,29547,87ec3ea3-31bc-4fe4-ada8-610742b90919,199.143707760846,0.0091091800347179,25460,21372,17284,13196,9109
27,45.464,9.1916,26294,ffc00041-f445-469e-9e2f-a3f790ca17d4,83.97369528519589,0.0060692586913523,22249,18204,14159,10114,6069
30,37.5483,-121.9875,23548,c8664e91-7847-4f20-b7f4-b70f9768d640,78.33889408573856,0.0093795711030362,20714,17881,15047,12213,9379
34,50.45,30.5233,477,55c086e8-cb44-4c9e-9d89-b6ebd144fdc0,336.39447566946143,0.0089549485606885,2172,3868,5563,7259,8954
36,3.1333,101.6833,23857,032bff94-38f8-494f-9a6b-4e2430e79fbc,282.8661177312101,0.0182630347833505,22738,21619,20500,19381,18263
44,38.7,-9.1833,1393,9643953b-d9c5-458e-9c8e-2b375624d5f7,245.23412504664785,0.0046036014107664,2035,2677,3319,3961,4603
46,28.585,77.2,1806,10d87d3c-c7f1-4cfa-b6ab-a54c551c369a,122.67495197778088,0.0095038688928461,3345,4885,6424,7964,9503
48,60.38,5.34,708,5322dbbc-4040-4bda-8209-af3bd25c6f56,120.78410829723327,0.0048279666703177,1532,2356,3180,4004,4827
50,-34.6036,-58.3817,371,a8290371-f7f5-4965-82fb-52db11a51f65,552.2505743593401,0.0184715698821735,3991,7611,11231,14851,18471
55,39.0997,-94.5783,1339,c42df1a8-cb81-49a1-9d0c-94700d3fb6d8,125.08490463970004,0.0065022069942083,2371,3404,4437,5469,6502
57,-6.1333,106.75,170,34ea7528-0d87-40ff-9bfd-07202bbceabe,351.5248854092494,0.0207274739627844,4281,8393,12504,16615,20727
59,-43.5,172.6,116,e10fd6d6-ee9e-44be-a0fd-a132bb8c1e88,0.0,0.0574183133932081,11576,23037,34497,45957,57418
64,13.75,100.4833,717,e2fd83f6-ca7f-4357-bd6d-ebba71dbbb93,183.32300564716564,0.0155741406117137,3688,6659,9631,12602,15574
65,21.0409,105.7981,391,8e8cab26-d97d-4933-b387-93eb09b943a1,761.810212463694,0.0146894335275231,3250,6110,8970,11829,14689
66,41.0128,28.9744,2410,858579cf-9275-4211-a785-7a0027412e2a,157.70029600904346,0.0105420872440667,4037,5663,7289,8915,10542
70,-33.0333,-71.5417,1000,fc1e44c5-956c-41e9-a2cb-09355f954a47,101.77630722640666,0.0224797261559786,5296,9592,13887,18183,22479
72,22.3,114.1667,11949,4d6cddeb-5e1c-417a-a15b-27635cb3bc2e,216.287118002371,0.0176226264466754,13083,14218,15353,16487,17622
74,10.0,-84.1167,14,31d7fa02-a642-45fb-9ed2-d33c70c2e8ee,11.268930657909957,0.0117800453423711,2367,4720,7073,9426,11780
76,64.1333,-21.9333,208,054cbe0d-e418-4beb-9878-8579b4a8ada5,4.040236621960135,0.003558467833429,878,1548,2218,2888,3558
83,44.65,-63.6,198,5aa17b5f-cb70-4590-9b50-18be89138714,29.34657649968642,0.0070635123397932,1571,2944,4317,5690,7063
